fid,Station,Natur_type,ID,N_Coordina,E_Coordina
"1",a,Skov,Piezometerrør,54.73394,11.57259
"2",b,Skov,Piezometerrør,54.73384,11.5726
"3",c,Skov,Piezometerrør,54.73371,11.57275
"4",d,Skov,Piezometerrør,54.73385,11.57244
"5",e,Skov,Piezometerrør,54.73372,11.57254
"6",f,Skov,Piezometerrør,54.73366,11.57259
"7",g,Skov,Piezometerrør,54.73378,11.57223
"8",h,Skov,Piezometerrør,54.73368,11.57235
"9",i,Skov,Piezometerrør,54.7336029086216,11.5724571884619
"10",a,Mark,Piezometerrør,54.7305319053615,11.5709939067676
"11",b,Mark,Piezometerrør,54.73044,11.57083
"12",c,Mark,Piezometerrør,54.73037,11.57072
"13",d,Mark,Piezometerrør,54.73065,11.57085
"14",e,Mark,Piezometerrør,54.73058,11.57072
"15",f,Mark,Piezometerrør,54.7305,11.57061
"16",g,Mark,Piezometerrør,54.73076,11.57071
"17",h,Mark,Piezometerrør,54.73066,11.57056
"18",i,Mark,Piezometerrør,54.73059,11.57043
"19",I_1,Skov,Isco,54.7315945870903,11.5725489603748
"20",I_2,Skov,Isco,54.7345230850366,11.5724391133068
